date_found,company,title,location,url,source,posted_at,active,match_score
2026-09-02,greytHR,Specialist-Product Implementation,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864434085,adzuna,2026-09-01,yes,
2026-09-02,Wissen Infotech,Senior SAP Consultant,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864439025,adzuna,2026-09-01,yes,
2026-09-02,VARITE INC,Senior ServiceNow Technical Consultant,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864429450,adzuna,2026-09-01,yes,
2026-09-02,Ubique Systems,ServiceNow ITom Specialist-ITOM & SecOps Implementation,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864437756,adzuna,2026-09-01,yes,
2026-09-02,UST,Release Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5860980711,adzuna,2026-08-29,yes,
2026-09-02,Truww,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5845682811,adzuna,2026-08-18,yes,
2026-09-02,Tata Consultancy Services,Oracle CPQ Business Analyst,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864434043,adzuna,2026-09-01,yes,
2026-09-02,Tata Consultancy Services,Oracle PCMCS (EPM) Consultant,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864438212,adzuna,2026-09-01,yes,
2026-09-02,Suffolk Global,Digital Delivery Lead - BIM / Navisworks [T500-28816],"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5857170147,adzuna,2026-08-26,yes,
2026-09-02,Sonata Software,Project Manager  Cybersecurity,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5864429271,adzuna,2026-09-01,yes,
2026-09-02,Sonata Software,Technical Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5865285904,adzuna,2026-09-02,yes,
2026-09-02,Rize,Project Coordinator – Carbon & Innovation,"Bangalore, Karnataka",https://www.adzuna.in/details/5864353491,adzuna,2026-09-01,yes,
2026-09-02,Observe.AI,Global Customer Success Operations Manager ,Bengaluru,https://www.observe.ai/position?gh_jid=5406490008,greenhouse,2026-09-02,yes,
2026-09-02,NexSAP Solutions,SAP ABAP Consultant,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864425330,adzuna,2026-09-01,yes,
2026-09-02,"Milestone Technologies, Inc.",ServiceNow Technical Consultant,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864435118,adzuna,2026-09-01,yes,
2026-09-02,LTM,Software Engineering Consultant,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864425606,adzuna,2026-09-01,yes,
2026-09-02,LTM,Specialist - Package Implementation,"Bangalore, Karnataka",https://www.adzuna.in/details/5865055638,adzuna,2026-09-01,yes,
2026-09-02,IntraEdge,Netsuite - Project Manager,"New Delhi, Delhi",https://www.adzuna.in/land/ad/5864153426,adzuna,2026-09-01,yes,
2026-09-02,Insight Global,Oracle Finance Business Analyst,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5864429139,adzuna,2026-09-01,yes,
2026-09-02,Impetus,Technical Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5861427458,adzuna,2026-08-30,yes,
2026-09-02,Headsup Corporation,Project Manager,"Delhi, India",https://www.adzuna.in/details/5866083987,adzuna,2026-09-02,yes,
2026-09-02,HCLTech,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5860981371,adzuna,2026-08-29,yes,
